date,name,category,value
2003,LVMH,France,35.59
2003,NIKE,USA,18.01
2003,KERING,France,11.81
2003,TJX COMPANIES,USA,11.09
2003,CINTAS,USA,8.56
2003,DIOR,France,7.53
2003,HERMES,France,7.13
2003,FAST RETAILING,Japan,6.42
2003,ADIDAS,Germany,5.16
2003,ROSS STORES,USA,4.0
2003,INDITEX,Spain,0
2003,H&M,Sweden,0
2004,LVMH,France,37.45
2004,NIKE,USA,23.94
2004,DIOR,France,12.35
2004,KERING,France,12.23
2004,TJX COMPANIES,USA,12.10
2004,FAST RETAILING,Japan,8.07
2004,CINTAS,USA,7.53
2004,ADIDAS,Germany,7.38
2004,HERMES,France,7.36
2004,ROSS STORES,USA,4.23
2004,INDITEX,Spain,0.00
2004,H&M,Sweden,0
2005,LVMH,France,43.53
2005,NIKE,USA,22.50
2005,DIOR,France,16.16
2005,KERING,France,13.55
2005,TJX COMPANIES,USA,10.70
2005,FAST RETAILING,Japan,10.36
2005,ADIDAS,Germany,9.61
2005,HERMES,France,9.09
2005,CINTAS,USA,6.91
2005,ROSS STORES,USA,4.17
2005,INDITEX,Spain,0
2005,H&M,Sweden,0
2006,LVMH,France,51.69
2006,NIKE,USA,24.95
2006,DIOR,France,19.37
2006,KERING,France,19.18
2006,HERMES,France,13.36
2006,TJX COMPANIES,USA,12.97
2006,ADIDAS,Germany,10.13
2006,FAST RETAILING,Japan,10.12
2006,CINTAS,USA,6.34
2006,ROSS STORES,USA,4.09
2006,INDITEX,Spain,0
2006,H&M,Sweden,0
2007,LVMH,France,59.14
2007,NIKE,USA,31.94
2007,DIOR,France,23.40
2007,KERING,France,20.57
2007,ADIDAS,Germany,15.24
2007,HERMES,France,13.33
2007,TJX COMPANIES,USA,12.55
2007,FAST RETAILING,Japan,7.58
2007,CINTAS,USA,5.16
2007,ROSS STORES,USA,3.46
2007,INDITEX,Spain,0
2007,H&M,Sweden,0
2008,LVMH,France,32.71
2008,INDITEX,Spain,27.16
2008,NIKE,USA,24.68
2008,HERMES,France,14.74
2008,FAST RETAILING,Japan,14.58
2008,DIOR,France,10.03
2008,TJX COMPANIES,USA,8.56
2008,KERING,France,8.24
2008,ADIDAS,Germany,7.34
2008,ROSS STORES,USA,3.91
2008,CINTAS,USA,3.54
2008,H&M,Sweden,0
2009,LVMH,France,55.01
2009,INDITEX,Spain,38.73
2009,NIKE,USA,32.20
2009,HERMES,France,14.05
2009,DIOR,France,18.32
2009,TJX COMPANIES,USA,15.34
2009,KERING,France,15.26
2009,FAST RETAILING,Japan,19.13
2009,ADIDAS,Germany,11.32
2009,ROSS STORES,USA,5.29
2009,CINTAS,USA,3.98
2009,H&M,Sweden,0
2010,LVMH,France,80.22
2010,INDITEX,Spain,46.44
2010,NIKE,USA,40.87
2010,DIOR,France,25.36
2010,HERMES,France,21.92
2010,KERING,France,20.07
2010,TJX COMPANIES,USA,17.56
2010,FAST RETAILING,Japan,16.15
2010,ADIDAS,Germany,13.60
2010,ROSS STORES,USA,7.53
2010,CINTAS,USA,4.06
2010,H&M,Sweden,0
2011,LVMH,France,71.91
2011,INDITEX,Spain,51.09
2011,NIKE,USA,44.22
2011,HERMES,France,31.50
2011,TJX COMPANIES,USA,24.34
2011,DIOR,France,21.17
2011,FAST RETAILING,Japan,18.35
2011,KERING,France,18.05
2011,ADIDAS,Germany,13.62
2011,ROSS STORES,USA,10.86
2011,CINTAS,USA,4.51
2011,H&M,Sweden,0
2012,LVMH,France,91.79
2012,INDITEX,Spain,86.96
2012,H&M,Sweden,57.15
2012,NIKE,USA,46.21
2012,HERMES,France,31.16
2012,TJX COMPANIES,USA,30.95
2012,DIOR,France,30.82
2012,FAST RETAILING,Japan,25.87
2012,KERING,France,23.49
2012,ADIDAS,Germany,18.63
2012,ROSS STORES,USA,12.02
2012,CINTAS,USA,5.04
2013,INDITEX,Spain,103.11
2013,LVMH,France,91.63
2013,H&M,Sweden,76.46
2013,NIKE,USA,69.83
2013,TJX COMPANIES,USA,45.32
2013,FAST RETAILING,Japan,42.14
2013,HERMES,France,37.88
2013,DIOR,France,33.84
2013,KERING,France,26.77
2013,ADIDAS,Germany,26.76
2013,ROSS STORES,USA,16.10
2013,CINTAS,USA,7.14
2014,INDITEX,Spain,89.83
2014,LVMH,France,80.72
2014,NIKE,USA,83.07
2014,H&M,Sweden,69.51
2014,TJX COMPANIES,USA,47.24
2014,FAST RETAILING,Japan,37.57
2014,HERMES,France,37.43
2014,DIOR,France,31.08
2014,KERING,France,24.28
2014,ROSS STORES,USA,19.65
2014,ADIDAS,Germany,14.31
2014,CINTAS,USA,9.20
2015,INDITEX,Spain,107.86
2015,NIKE,USA,106.68
2015,LVMH,France,79.66
2015,H&M,Sweden,59.45
2015,TJX COMPANIES,USA,47.47
2015,FAST RETAILING,Japan,36.07
2015,HERMES,France,35.58
2015,DIOR,France,30.69
2015,KERING,France,21.80
2015,ROSS STORES,USA,21.79
2015,ADIDAS,Germany,19.68
2015,CINTAS,USA,9.84
2016,INDITEX,Spain,106.73
2016,LVMH,France,96.55
2016,NIKE,USA,84.17
2016,H&M,Sweden,56.25
2016,TJX COMPANIES,USA,48.97
2016,HERMES,France,43.15
2016,DIOR,France,37.78
2016,FAST RETAILING,Japan,36.68
2016,KERING,France,28.48
2016,ROSS STORES,USA,25.85
2016,ADIDAS,Germany,31.80
2016,CINTAS,USA,12.13
2017,LVMH,France,147.32
2017,INDITEX,Spain,107.96
2017,NIKE,USA,101.58
2017,DIOR,France,65.33
2017,KERING,France,59.26
2017,HERMES,France,55.50
2017,TJX COMPANIES,USA,48.34
2017,FAST RETAILING,Japan,40.57
2017,ADIDAS,Germany,40.48
2017,H&M,Sweden,33.98
2017,ROSS STORES,USA,30.66
2017,CINTAS,USA,16.59
2018,LVMH,France,148.54
2018,NIKE,USA,116.91
2018,INDITEX,Spain,76.90
2018,DIOR,France,68.64
2018,KERING,France,59.25
2018,HERMES,France,57.81
2018,TJX COMPANIES,USA,55.17
2018,FAST RETAILING,Japan,52.12
2018,ADIDAS,Germany,41.56
2018,ROSS STORES,USA,30.83
2018,H&M,Sweden,25.95
2018,CINTAS,USA,17.56
2019,LVMH,France,233.69
2019,NIKE,USA,157.94
2019,INDITEX,Spain,109.71
2019,DIOR,France,92.31
2019,KERING,France,81.95
2019,HERMES,France,77.76
2019,TJX COMPANIES,USA,73.46
2019,ADIDAS,Germany,63.62
2019,FAST RETAILING,Japan,60.93
2019,ROSS STORES,USA,41.78
2019,H&M,Sweden,33.73
2019,CINTAS,USA,27.91
2020,LVMH,France,316.64
2020,NIKE,USA,223.02
2020,HERMES,France,113.16
2020,DIOR,France,100.87
2020,INDITEX,Spain,99.76
2020,FAST RETAILING,Japan,91.55
2020,KERING,France,91.34
2020,TJX COMPANIES,USA,81.99
2020,ADIDAS,Germany,71.47
2020,ROSS STORES,USA,43.77
2020,CINTAS,USA,37.10
2020,H&M,Sweden,34.76
2021,LVMH,France,414.55
2021,NIKE,USA,263.55
2021,DIOR,France,149.15
2021,HERMES,France,182.03
2021,INDITEX,Spain,100.61
2021,KERING,France,99.32
2021,TJX COMPANIES,USA,90.56
2021,FAST RETAILING,Japan,57.97
2021,ADIDAS,Germany,55.08
2021,CINTAS,USA,45.97
2021,ROSS STORES,USA,40.37
2021,H&M,Sweden,32.57
2022,LVMH,France,363.55
2022,NIKE,USA,183.07
2022,HERMES,France,161.19
2022,DIOR,France,131.10
2022,TJX COMPANIES,USA,91.97
2022,INDITEX,Spain,83.00
2022,KERING,France,62.01
2022,FAST RETAILING,Japan,61.53
2022,CINTAS,USA,45.88
2022,ROSS STORES,USA,39.97
2022,ADIDAS,Germany,24.82
2022,H&M,Sweden,17.41
2023,LVMH,France,408.47
2023,HERMES,France,225.51
2023,NIKE,USA,165.23
2023,DIOR,France,141.49
2023,INDITEX,Spain,136.55
2023,TJX COMPANIES,USA,106.91
2023,FAST RETAILING,Japan,76.09
2023,CINTAS,USA,61.07
2023,KERING,France,54.02
2023,ROSS STORES,USA,46.59
2023,ADIDAS,Germany,36.32
2023,H&M,Sweden,28.37
2024,LVMH,France,429.02
2024,HERMES,France,260.60
2024,INDITEX,Spain,148.80
2024,DIOR,France,146.00
2024,NIKE,USA,138.25
2024,TJX COMPANIES,USA,111.52
2024,FAST RETAILING,Japan,80.66
2024,CINTAS,USA,70.49
2024,KERING,France,44.92
2024,ROSS STORES,USA,44.84
2024,ADIDAS,Germany,45.10
2024,H&M,Sweden,26.33
